#1.2																								
12618	23																							
NAME	description	Control_12	Control_13	Control_16	Control_20	Control_25	Control_7	Control_35	Control_38	Cyp7a1_2	Cyp7a1_5	Cyp7a1_17	Cyp7a1_19	Cyp7a1_24	Cyp7a1_26	Cyp7a1_28	Cyp8b1_3	Cyp8b1_4	Cyp8b1_6	Cyp8b1_10	Cyp8b1_18	Cyp8b1_27	Cyp8b1_30	Cyp8b1_34
Dgke	NA	47.81374895	50.11014123	40.19679736	52.30188327	32.34239926	53.79849511	67.27912325	53.75101056	78.65043382	69.80800999	58.24634109	47.98269441	49.1662697	56.6219121	60.80174826	56.61611762	33.60235247	32.21838188	39.48642753	65.55322362	57.21511504	57.03276462	59.76476955
Scpep1	NA	973.8392132	1224.80749	865.5710365	830.5539063	920.7476789	1313.451831	1023.733686	1055.05555	1829.059533	1303.664587	1335.505392	1324.976675	1402.488676	1572.227614	1686.587626	1674.89348	1243.287041	1175.510676	1211.203244	1571.128081	1144.302301	1589.239922	1273.532908
Mnt	NA	514.2417489	469.3007457	471.6424224	597.2875069	366.8840916	418.091162	488.2282323	469.9374066	528.705694	410.9946588	428.5266523	439.4778602	329.9973356	451.4240116	474.0773995	452.9289409	420.5385324	452.8983967	398.2978777	450.2754213	375.0768652	463.9396045	571.5685234
Itgb2	NA	332.744661	480.8646245	331.4002627	236.4045124	271.8782938	469.5840073	285.4816852	368.5783581	272.6548372	286.212841	296.4322716	219.1936722	1815.818673	322.6673347	206.1972332	294.8756126	380.8266613	317.5811928	333.9178328	351.4082643	285.016036	251.1635211	393.3608469
Tpd52l1	NA	151.2475732	133.9482621	162.5737138	182.0105538	138.4658968	132.190588	167.2886308	184.289179	100.4977765	128.2722184	182.0198159	160.30582	107.4991321	109.365611	158.6132563	103.7962156	183.2855589	136.2377291	163.9545143	135.4050193	128.2042392	149.1626151	170.6012513
Pemt	NA	3487.476301	3357.379462	3578.408227	4561.770259	4258.079002	3775.117257	3510.333715	4472.084078	4363.351289	4020.941376	4707.552496	4053.447162	3616.637466	4212.515132	4426.191036	5071.860537	4607.5953	4318.183697	4250.799763	3754.802678	3718.982477	4370.683981	4579.06798
Cdh1	NA	969.9360501	963.6565621	454.6704413	667.3720305	366.8840916	873.0727206	704.6124395	632.7261814	877.3892839	898.7781287	438.9277847	682.6628796	954.1589629	995.9251389	526.0673002	797.3436564	312.6037032	383.859007	647.2340512	1141.270877	974.7760339	737.0388043	518.3235468
Cdh4	NA	49.76533054	44.32820186	55.38225414	42.88754428	60.64199861	67.63239385	48.18639909	82.93013057	49.81194142	20.942403	48.88532199	54.5257891	74.16606786	58.94884	58.15819399	58.97512252	52.94916146	46.02625983	55.7960389	47.28429245	47.67926253	66.90382003	51.07171216
Bcl6b	NA	139.5380837	145.5121409	94.68578934	51.2558456	99.04859773	110.6711899	83.6443154	107.5020211	83.89379607	57.59160824	82.16894547	64.34043114	108.3324587	112.4681816	66.97004156	77.84716172	77.38723598	80.08569211	60.08804189	110.68823	110.1920734	116.2590971	85.84394172
Arvcf	NA	522.0480752	525.1928263	493.0807143	375.5275219	354.7556919	587.1721466	474.5905721	456.1157181	478.0198589	527.9230756	521.0967301	512.5424176	497.4959833	570.8729768	412.3944665	528.4170978	424.6115448	400.4284605	462.6779225	441.6782772	492.6857128	540.7144799	389.0143182
Comt	NA	14711.02202	17035.5207	14075.13191	14122.55452	13834.46128	12328.30943	15422.37524	12946.31483	12748.36143	12581.1486	7881.978086	9341.358189	10242.4173	12111.65969	10271.08953	14106.84931	12123.32147	14568.23176	12497.45431	17240.49781	13356.55074	10861.45131	12595.15353
Rtca	NA	249.8024435	216.8227265	206.3435598	226.9901734	220.3325949	225.9536794	221.8392713	222.682758	235.9513015	193.7172277	230.9051379	231.1893458	220.8315504	225.7120058	202.6724942	247.6955146	201.6141148	213.5618456	247.2193723	223.5257461	252.1703218	224.8407067	208.6333773
Dbt	NA	1705.682309	1411.756863	2022.345538	2380.781726	1973.897055	1357.259177	1877.45121	1993.39462	1374.634804	1886.56147	2105.189185	2045.807607	1282.489645	1513.278774	1863.705762	1221.964539	1883.768244	1899.964006	1848.994889	1581.874511	1729.167921	1715.370074	1873.353867
Dazap2	NA	2473.629665	2300.248214	2371.611044	2457.142476	2400.412445	2340.234537	2212.028471	2507.868578	2248.528513	2288.830128	2395.380777	2326.070163	2387.480724	2179.555795	2410.921496	2139.617445	2370.493228	2271.856185	2399.229673	2249.22782	2304.497689	2519.312699	2486.214413
Mcts1	NA	203.9402761	209.113474	210.8098706	238.4965877	241.5572945	205.2028313	272.7532024	164.324518	242.9424511	217.2774311	196.5814012	222.4652195	286.6643522	213.3017237	250.2564711	191.079397	270.8553259	266.0317818	175.9721227	228.8989612	221.443686	235.808546	172.7745156
Trappc10	NA	870.405389	784.4164416	808.402258	711.3056125	792.3887818	790.8378781	792.8026416	836.9800215	626.5817894	767.8881099	817.5290018	878.9557203	759.9938639	705.0591521	805.4028682	658.1623673	678.1565679	810.9826982	849.8165924	784.4893974	766.046818	755.6841312	763.9024181
Ccm2	NA	397.1468535	424.9725439	409.1140709	331.5939399	406.3013907	395.803214	352.7608084	353.2209265	465.7853469	397.905657	421.2458597	387.1331026	372.4969925	383.9431026	385.9589237	368.0047645	346.2060557	384.7795322	364.8202543	364.3039804	362.3623952	330.1319644	395.5341112
Tbrg4	NA	971.8876317	794.0530072	874.5036581	820.0935297	849.9986805	842.3307234	693.7023114	901.4812342	722.7100974	918.8479315	1072.356744	1062.162372	699.9943483	743.065641	860.917508	778.4716172	754.5255508	817.4263746	954.5414654	949.984421	815.8451588	928.9759929	911.6843937
Tmprss2	NA	76.111682	91.5473734	91.11274068	81.5909379	68.72759842	102.9856906	84.55349274	93.68033268	161.6703362	123.9092177	151.8565321	141.7670517	97.4992128	92.30147315	145.395485	110.8732303	74.33247667	58.91361258	103.8664724	99.94179995	76.28682005	110.7751774	96.71026346
Mx1	NA	35.12846861	39.50991905	37.51701087	19.87471564	56.5991987	64.55819413	41.8221577	24.57189054	39.32521691	40.13960575	37.44407642	34.89650503	34.16639081	41.10905947	37.00975981	51.89810782	25.45632763	33.13890708	54.9376383	56.95607954	43.44110586	46.06492527	47.81181564
Ndufa9	NA	2455.08964	2318.557688	2324.26815	2673.672273	2446.904644	2282.593292	2283.853481	2463.332027	2568.373611	2429.318748	2649.168407	2403.496784	2271.648326	2499.120559	2636.504794	2443.929077	2417.332871	2547.093219	2412.105682	2162.181736	2418.927919	2679.443153	2509.033689
Lck	NA	26.34635146	26.98238374	23.22481625	12.55245198	8.085599814	22.28794797	25.45696556	10.75020211	17.47787418	13.08900187	27.04294408	11.9956736	25.83312476	42.66034473	13.21777136	23.59004901	36.65711178	18.41050393	25.75201795	30.09000428	28.60755752	9.871055414	57.5915052
Galnt1	NA	898.703322	925.1102996	932.5656988	900.6384299	911.6513791	985.2810104	920.0874694	893.8025184	875.6414965	884.8165267	910.0990796	1019.632256	1015.825132	912.1557347	919.0757019	797.3436564	940.865869	922.366247	880.719014	912.3719156	971.5974164	892.782123	824.7538198
Mkrn2	NA	371.7762928	372.9350895	365.3442249	404.8165765	368.9054915	363.5241169	348.2149217	383.9357897	369.6570389	379.5810543	399.4034818	408.9434183	345.8305411	369.2058926	415.0380207	323.1836714	350.2790681	341.514848	356.2362483	333.1393332	327.3976027	370.71297	357.5019851
Pparg	NA	711.3514894	762.2523406	753.0200039	476.9931754	499.2857885	748.5676319	420.0399317	400.8289644	742.8096527	566.3174811	555.4204669	826.6109628	619.9949942	698.854011	568.3641685	570.879186	292.2386411	521.0172613	487.5715399	552.3665072	660.0929012	502.3270422	420.5266512
Raf1	NA	1605.175858	1643.034438	1568.568359	1882.867798	1800.056659	1519.423212	1533.782175	1597.172885	1578.252039	1608.20203	1642.338796	1597.605621	1566.654018	1531.118555	1532.380293	1648.944426	1646.515271	1641.296426	1592.33311	1553.933793	1576.594281	1429.109467	1572.356755
1-Sep	NA	40.00742259	39.50991905	24.11807842	30.3350923	39.4172991	43.03879608	50.00475377	29.17912002	48.93804771	25.30540362	41.60452935	25.08186299	45.83296328	39.55777421	24.67317321	68.41114212	36.65711178	30.37733149	47.21203291	31.16464729	36.02433169	23.03246263	58.67813738
Pdgfb	NA	60.49902928	97.32931277	73.24749741	42.88754428	51.54569882	90.68889175	87.28102476	72.17992846	68.16370931	58.46420837	43.68475582	66.52146271	119.9990311	83.76940421	44.94042263	139.1812891	58.04042699	39.58258346	55.7960389	72.00108168	59.33419337	70.19417183	55.41824086
Acvrl1	NA	115.1433138	130.0936359	118.8038678	81.5909379	101.0699977	102.2171407	127.2848278	82.93013057	86.5154772	92.49561324	87.36951164	85.060231	168.3319742	100.8335421	74.90070438	94.36019603	96.73404498	81.9267425	106.4416742	141.8528773	107.0134559	80.06522725	104.3166887
Grasp	NA	64.40219246	67.45595935	61.63508929	37.65735595	40.42799907	63.02109427	57.2781725	89.07310321	48.064154	47.99300687	84.24917194	68.70249427	46.66628989	43.43598737	55.51463972	63.69313232	37.67536489	40.50310865	61.80484308	60.18000857	43.44110586	52.64562888	80.41078085
Acvr1b	NA	528.8786108	537.7203617	530.5977252	547.077699	471.9968892	535.6793013	597.3295132	580.510914	551.4269304	539.2668772	513.8159375	537.6242806	594.1618695	525.1100615	548.9781038	509.5450586	527.4551084	506.2888582	520.1907626	458.8725653	518.1146528	546.1983996	523.7567077
Tom1l2	NA	1086.055155	1202.64339	1036.18411	1086.833134	1204.754372	1295.775182	1097.377051	1234.7375	1322.201182	1194.589571	1177.408181	1053.438245	1248.323255	1223.964073	1247.757616	1198.37449	1196.447398	1286.894225	1169.141615	1070.344438	1172.909858	1283.237204	1087.718806
Zfp385a	NA	506.4354225	450.9912711	384.1027303	300.21281	340.6058922	406.562913	300.9377	451.5084887	342.566334	299.3018428	330.7560084	286.8056507	345.8305411	291.6416295	257.3059492	415.1848625	302.4211722	324.0248692	325.3338268	312.721116	323.159446	319.1641251	512.890386
Itga5	NA	561.079707	634.0860179	611.884582	478.0392131	474.0182891	613.3028442	580.9643211	583.5824003	581.1393165	557.5914798	568.9419389	498.3657124	628.3282603	509.5972089	489.9387251	684.1114212	523.382096	493.4015054	586.2876087	602.8747287	513.8764962	517.6820173	557.4423051
Wdr77	NA	217.6013472	233.204888	234.927949	211.2996084	228.4181948	213.6568806	222.7484486	152.0385727	183.5176789	226.8760325	236.1057041	217.0126406	237.4980825	213.3017237	237.0386997	221.7464607	216.8879114	242.0981267	221.4673544	284.7803977	205.5505985	212.7760834	184.7274695
Atp5f1	NA	3305.979213	3324.615139	2998.681083	3368.241283	3283.764225	3421.584289	3302.132104	3132.916044	3777.842504	3545.374308	3719.444924	3600.883112	3702.470107	3595.103597	3695.688872	3684.765655	3376.527296	3574.399339	3312.567909	3334.617261	3372.51317	3766.356033	3145.800143
Sox9	NA	193.2065774	207.1861609	145.6017327	175.7343278	87.93089798	156.0156358	222.7484486	207.3253264	180.8959978	151.8324217	171.6186836	133.0429254	194.165099	199.3401563	161.2568106	167.489348	107.9348291	102.1782968	151.9369059	165.4950236	159.9904143	127.2269365	144.5220791
Hnrnpd	NA	914.3159748	725.6333913	887.0093284	819.047492	823.7204811	789.3007782	835.5339766	777.0860383	792.6215941	719.0225029	880.975909	841.8781837	844.9931776	808.2196221	867.966986	882.2678329	936.7928566	845.9626557	805.1797613	902.7001285	899.5487531	1085.816096	943.1967268
C1d	NA	602.0629204	612.8855735	588.6597658	649.5893902	684.2438843	621.7568934	651.8801537	572.8321982	670.2764749	610.8200874	553.3402404	699.0206163	599.9951557	587.1614721	653.83909	615.7002791	658.8097589	660.9370912	592.2964129	557.7397223	613.4731779	575.8115658	575.915052
Gm2a	NA	2642.441472	2993.117282	2853.972613	3159.03375	3468.72232	2869.765439	2699.347526	3002.377875	3152.134609	3403.140487	2946.640791	2730.651518	2878.310094	2627.101593	2937.869981	3493.686258	3030.321241	2930.952226	2861.907595	3511.933357	3348.143769	3278.287181	3099.074959
Krit1	NA	205.8918577	233.204888	244.7538328	218.6218721	230.4395947	197.517332	242.7503501	179.6819496	208.8605965	263.5252377	199.7017409	225.7367669	259.1645742	248.9812847	255.5435796	214.669446	239.2894797	230.1312992	212.0249478	264.3621805	260.6466352	205.0985958	215.1531704
Clcn4	NA	1457.831447	1302.863672	1249.673767	1337.882174	1398.808768	1378.010025	1268.302391	1329.953575	1484.745412	1365.619195	1295.981089	1527.812611	1437.488394	1223.964073	1351.737418	1339.914784	1381.769463	1331.079434	1297.901705	1372.319124	1429.318337	1302.979315	1221.374563
Hk2	NA	64.40219246	113.7114743	92.00600285	39.74943129	62.66339856	96.83729119	69.09747794	69.10844214	132.8318438	113.4380162	147.6960792	109.0515782	229.1648164	113.2438242	140.1083764	150.9763136	82.47850151	79.16516691	75.53925266	53.73215051	78.40589838	70.19417183	64.11129825
Myo18a	NA	3741.181907	3210.903665	4012.533639	3113.008092	3414.144522	3647.537968	3358.501099	3486.13697	3432.654489	3898.777358	3711.124018	3636.870133	3211.640736	3533.052187	3241.878722	4130.617581	3436.604229	3643.438728	3762.369823	3600.054084	3716.863399	3602.935226	4250.905063
Haao	NA	7160.352852	6668.50341	7877.679021	10299.28685	8775.907899	6883.133174	7838.927036	7992.007398	7745.319944	7842.057323	8526.848291	7296.641098	6257.449478	7527.611739	8158.008484	8214.055064	9497.24671	9463.919547	7932.47993	6863.744906	7900.983571	8518.720822	8941.896157
Cd52	NA	158.0781088	174.4218377	100.0453623	96.23546522	118.2518973	185.2205332	128.1940051	113.6449937	121.4712256	116.9284167	91.52996458	91.60332569	278.3310861	153.577241	69.61359583	96.71920093	156.8109782	133.4761535	115.0256802	140.7782343	108.0729951	96.51698627	165.1680904
Abhd15	NA	1313.41441	988.7116327	1328.280837	1223.864069	1099.641575	1310.377631	1057.373248	1314.596144	1172.765358	1293.193385	1689.143892	1402.403296	1071.658014	1178.9768	1256.569464	1134.681357	1251.433066	1232.583238	1595.766712	923.1183457	1213.172347	1271.172581	1427.834676
Loxl3	NA	97.57907948	117.5661006	81.28685688	64.85433526	53.56709877	86.8461421	87.28102476	84.46587373	101.3716703	75.91621087	74.88815284	85.060231	103.332499	109.365611	74.90070438	103.7962156	79.42374219	61.67518817	69.53044847	102.091086	91.12036839	86.64593086	71.71772346
Kat2b	NA	1153.384719	1081.222663	1139.802521	1196.667089	1028.892576	985.2810104	1076.465972	1214.772839	1060.906963	1075.043354	1062.995725	1123.231256	1123.324264	1013.764919	1049.491046	1037.962156	1143.498237	1088.981308	1098.752766	1055.299436	1233.303591	1045.23509	1136.617254
Rab5b	NA	1259.745916	1334.664339	1411.354218	1482.235372	1449.343767	1353.416427	1338.309046	1508.099782	1405.221084	1418.847803	1401.032526	1449.295474	1350.822427	1345.739966	1392.271917	1339.914784	1351.22187	1402.8804	1317.644919	1262.705537	1411.306171	1415.94806	1368.069907
Icosl	NA	41.95900418	32.76432311	25.90460274	18.82867798	37.39589914	53.02994518	35.45791631	33.78634949	28.8384924	40.13960575	29.12317055	39.25856815	42.49965686	44.21163	22.91080369	30.66706371	34.62060557	34.05943228	38.62802693	33.31393332	33.90525335	20.83889476	35.85886173
Spg7	NA	1213.883749	1210.352642	1153.201453	1016.748611	1089.534575	1165.890244	993.730834	1068.877238	1212.090575	1024.432547	1154.52569	1099.239908	1146.657409	1167.34216	1120.867011	1045.039171	957.1579187	1043.875573	1078.151152	984.3729973	1012.919444	1048.525442	1072.505955
Sult5a1	NA	148.3202008	127.2026662	202.7705111	281.384132	235.4930946	86.07759217	144.5591973	291.7912002	97.00220171	246.9458354	237.1458173	148.3101464	62.49949539	94.62840105	137.4648222	63.69313232	178.1942934	199.7539677	198.2905382	159.0471655	204.4910593	121.7430168	349.8955599
Rpl13	NA	604.9902928	510.7379779	510.0526954	582.6429796	517.4783881	553.3559497	534.5962767	523.6884171	624.834002	629.1446901	635.5091859	563.7966593	514.1625154	615.0846068	591.2749722	660.5213722	512.1813118	529.3019881	560.5355908	613.6211588	477.8521645	582.3922694	653.0659364
Chmp1a	NA	1078.248828	972.3294712	994.2007881	937.2497482	930.8546786	1030.625456	856.4450555	815.4796173	990.9954661	964.223138	1000.588931	1018.54174	834.1599317	829.1619731	918.1945172	945.9609652	937.8111097	918.6841462	1074.717549	861.8636942	771.3445138	918.0081535	984.4887494
Rpa1	NA	809.9063597	861.5089665	808.402258	925.7433339	856.0628804	841.5621734	832.8064446	737.1567162	883.5065399	803.664715	878.8956826	833.1540575	951.6589831	872.5979605	949.0359837	837.4467398	894.0262262	985.8824856	847.2413906	822.1019028	835.976403	879.6207158	746.5163033
Serpinf1	NA	15694.61914	13607.79431	16389.57418	19454.2085	17907.58219	13783.943	15283.27111	19894.01688	16243.06237	18124.77719	18764.68285	16912.80926	13629.05663	15048.24269	18081.03004	15994.05323	16407.11228	15738.21929	16283.00095	15636.0558	14762.55922	16591.05058	18467.31379
Tubgcp3	NA	352.2604769	328.6068877	316.2148059	413.1848778	341.6165922	341.236169	345.4873897	374.7213307	292.7543925	351.6578503	333.8763481	319.5211241	344.9972145	352.1417547	358.6421963	299.5936224	401.1917234	327.70697	339.926637	363.2293374	370.8387086	364.1322664	369.454939
Polr3d	NA	173.6907615	182.1310902	186.6917922	134.9388588	163.7333962	139.8760873	149.105084	173.5389769	162.5442299	151.8324217	227.7847982	196.2928408	158.332055	181.5003758	185.9299838	207.5924313	168.0117623	167.5355858	176.8305233	224.6003891	185.4193543	200.7114601	229.2793886
Tcf7	NA	113.1917322	120.4570703	110.7645083	91.00527689	125.3267971	116.0510394	115.4655223	153.5743159	112.7322885	111.692816	118.5729087	125.4093149	159.1653816	141.1669589	128.6529746	110.8732303	149.6832064	93.89357006	116.7424814	133.2557333	130.3233176	106.3880417	130.3958608
Ddx3x	NA	1415.872443	1233.480399	1505.146746	1353.572739	1284.599671	1266.570285	1401.95146	1472.777689	1133.440141	1445.898407	1694.344458	1995.643881	1392.488757	1340.310467	1529.736739	1179.50245	1488.68604	1424.052479	1495.333842	1566.829509	1603.08276	1424.722331	1432.181205
Usp32	NA	359.0910125	412.4450086	397.5016628	457.1184598	429.5474901	398.1088638	430.0408824	430.0080844	392.3782754	437.1726626	405.6441612	414.3959972	431.6631815	375.4110337	372.7411524	318.4656616	401.1917234	457.5010227	381.1298657	413.7375589	438.6492153	392.6486487	404.2271686
Txnrd3	NA	246.8750711	184.0584034	218.8492301	263.6014917	225.3860948	218.2681801	193.6547737	273.3622823	244.6902385	220.7678316	243.3864967	226.8272827	215.8315907	226.4876484	238.8010693	259.4905391	222.99743	236.5749755	272.1129897	239.6453913	208.729216	269.808848	245.5788713
