#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645	0.36209	0.15099	0.01312	0	0	0	0	0	0.09211	0.00266	0	0	0.19634	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.35525	1.15449	0.8612	0.53932	0	0.76629	0.87972	1.67178	0.72153	0.46734	1.25446	1.93288	1.89704	0.33917	0	2.26481	0.8604	0.243	1.11273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	0.29872	0.16966	1.48746	0.23995	0.21622	0.63134	0.754	1.13929	1.1082	0.5294	0.69585	1.59869	0.85655	0.65028	0.09221	3.73899	0.54801	0.44355	0.45095
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980|f__FGB28980	0.24078	0.05323	0.49703	0	0.32005	0.08522	0.19302	0.33095	0.20585	0	0	0.25891	0.23605	0.19326	0.08652	0.32942	0.19159	0	0.01926
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.21893	1.61499	0.68829	0.44597	0.97976	0.25116	0.12043	0.23748	1.55637	0.88169	0.20323	0.55382	0.67173	1.08695	0.51827	0.33707	0.20957	2.19293	1.36146
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138	0.16844	0.09477	0.03174	0.06756	0.0274	0.08786	0.0396	0.02791	0.08374	0.12644	0.03264	0.00473	0.1413	0.11836	0.06426	0.14159	0.07997	0.09129	0.03702
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	0.16646	0.14944	0.52823	0.3097	1.01079	0.54232	0.45701	0.59597	0.51842	0.2212	0.37234	0.61987	0.69014	0.40328	0.10971	0.69863	0.17935	0.19008	0.60845
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.14055	0.02353	0	0.2047	0	0	0	0	0	0.12226	0.31471	0	1.14359	0	0.51093	0	0.89085	0.01097	0
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709	0.14001	0.40496	1.2279	0.14628	0.4133	0.35728	1.60466	0.8878	0.9005	0.21097	0.92293	1.66421	1.1855	1.06267	0.44158	1.07683	0.60196	0.57312	1.16825
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644|f__FGB9644	0.08212	0.11294	0	0.12303	0.00293	0.01072	0.0422	0.00086	0.00061	0.23359	0.10783	0	0.11232	0.01561	0.49333	0.00666	0.13658	0.23778	0.00781
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.0791	0.10574	0.04696	0.09278	0.00837	0.02132	0.0017	0.05804	0.13649	0.13155	0.08274	0.06178	0.12172	0.07011	0.02957	0.16282	0.11453	0.13211	0.02378
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322	0.05773	0.04322	0.04969	0.00391	0.03375	0.02159	0.1226	0.03411	0.0267	0.00226	0	0.03306	0.08411	0.03028	0.04137	0.12194	0.15028	0.04136	0.00504
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576|f__FGB76576	0.0501	0	0.03782	0	0	0	0	0.00526	0.03416	0	0	0.01248	0.04632	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	0.04921	0.00145	5.13434	2.3768	0	0	0.05598	0	0	0.05395	5.45494	7.30902	0.14588	0	0.97485	4.46836	0.37108	0.22864	0
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925|f__FGB75925	0.02813	0	0	0	0	0	0	0	0	0.00735	0.19752	0	0	0	0	0	0.36001	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313	0.02698	0.04324	0.02162	0	0	0	0	0	0	0.09417	0.0431	0	0.04027	0.03258	0.04318	0.00612	0.14543	0.05687	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.02533	0.05273	0.0188	0.13817	0	0.05483	0.02804	0.24811	0.08596	0.1921	0.1182	0.07093	0.10073	0.16124	0.06601	0.35235	0.08759	0.09743	0.18014
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	0.02408	0.07135	0.09514	0.04275	0.04329	0.04806	0.17514	0.19091	0.1604	0	0.07749	0.122	0.07971	0.09225	0.07182	0.02566	0.02991	0.0352	0.09273
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	0.01114	0	0.00024	0	0.00684	0.00028	0.00919	0.00439	0.01213	0.00169	0	0.01552	0.00067	0.00451	0	0.01344	0	0	0.00668
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308|f__FGB76308	0.00551	0	0	0.00426	0	0	0	0	0	0.00229	0	0	0	0	0.00849	0	0.00432	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791	0.00527	0.00542	0	0.00222	0	0	0	0.00249	0	0.02262	0.05013	0	0.56115	0	0.00756	0.00742	0.05256	0.00242	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.0051	0.00579	0	0.04395	0	0.00707	0	0	0.01034	0.22876	0.07013	0	0.00698	0	0.03205	0.01362	0.01203	0.12541	0.00667
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355	0.00427	0.00202	0	0	0	0	0.00477	0	0	0	0	0	0	0	0.0293	0	0.03241	0	0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074	0.00085	0.01276	0	0	0	0	0	0	0.09827	0	0	0	0	0.04707	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.00068	0	0	0.00176	0	0	0.02071	0	0.00216	0	0	0	0	0	0	0	0.00062	0.00012	0
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426|f__FGB49426	0.0006	0.05829	0	0.70997	0.46255	0.01575	0.96643	0.05397	0	0.05096	0.37464	0.05085	0.01856	0.06509	0.33596	0.05739	0.20085	0.06027	0.3761
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	20.82645	30.48132	23.82151	35.62225	0.58759	22.66489	11.94915	6.5113	12.36893	14.35403	16.68069	16.37048	12.20498	19.56901	24.81575	7.32532	12.46197	34.0153	7.91101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	14.51141	13.6135	10.09251	8.49459	11.23903	6.66126	7.02557	14.7624	14.06984	24.20334	10.99593	6.3157	12.00706	14.77046	3.74407	12.92836	20.32244	9.04585	9.57265
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	9.11885	6.55159	0.39657	4.86489	0	0.83331	0.44475	0	0.29986	3.31534	1.9637	0	0.98339	1.33633	7.83761	0.34883	3.32929	5.60851	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	5.79162	3.01274	6.23234	5.47559	9.20704	5.3094	6.5464	6.56286	11.10485	5.25207	6.55844	7.53163	8.75957	8.94946	6.48642	9.57909	9.38058	4.67139	11.17705
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanomethylovorans	3.53862	3.42183	3.67928	0	0	0	0	0	2.94494	1.40825	8.7867	0	6.30501	0	0	0	7.18796	1.44085	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	3.40573	5.20337	0.2584	0.01411	0	1.50604	0.4375	0.30211	0	1.10239	0.22588	0.29079	1.40035	0.83741	4.62046	0	0	3.21733	0.3912
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB20149	2.37435	4.67907	0.30351	3.53178	3.27431	0.18053	2.14439	0.7531	0.03563	5.11325	4.61052	0.27027	5.00691	0.12418	3.54371	1.01692	6.18731	2.64537	2.22331
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	2.33589	4.88274	10.94769	3.46315	16.11876	7.37858	28.26554	19.04557	19.41921	2.25234	5.84314	14.36489	6.49325	14.09435	4.77709	12.88847	3.46196	10.36514	21.84131
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28864	2.31979	0.21406	0.4009	0.0929	3.80243	0.44027	0.72034	1.2246	0.28739	0.78179	0.59044	0.01148	0.43906	0.76761	1.48427	0	0.72354	0.33681	0.03705
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB28821	2.25465	0	0	3.74189	0	0	0.00445	0	0	4.93315	1.49306	0	1.8665	0	3.55853	0	4.30919	1.65897	0
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28870	2.12127	0.01807	0.07139	0	0	0	0.63639	1.40435	0	0.14297	0	0.5454	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28904	2.10215	0.19638	0.3018	2.37385	1.0785	0.10879	0.79921	0.25368	0.32294	0.37865	0.5779	0.47523	0.69168	0.83908	0.27386	0.18897	0.84715	0.89369	0.57338
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9819	1.87804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB79698	1.72183	1.21327	4.81079	0.70017	4.14387	1.74405	3.30715	3.57015	3.59636	0.68828	1.40555	4.11592	0.56783	1.99222	0.03447	2.9812	0.82261	0	3.07485
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28403	1.65167	0	0	0	0	0	0	1.20317	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820|g__GGB75087	1.50624	0	0	0	0	0	0	0	1.19773	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobiaceae_unclassified	1.21959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB75064	1.16529	0.23253	1.97303	1.39247	6.41893	0.41885	3.40534	2.15425	0.97888	0.61721	0.60959	3.68137	0.42899	0.95779	0.8034	0.34631	0.8413	0.45785	1.99037
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30454	1.15176	0.18649	1.12208	3.2244	0.35868	0.01449	0	0.36822	0.04908	0.99635	0.94435	0.10305	1.79911	0.02918	1.34941	0.34669	2.87093	2.42919	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45535	1.14165	2.85229	1.55122	0	0	0.05988	0.28605	1.10255	0.53281	0.01909	1.9009	0.34709	1.84388	0.22572	0	0.24328	0	0.6167	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30461	0.95507	0.06977	0	1.10286	0	0.1644	0.01027	0.03468	0	0.02832	1.91335	0	1.41442	0	0.19712	0.18423	0.84311	0.43774	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.87071	0.42202	0.34707	0.49408	0.71869	0.40309	0.2672	0.40462	0.6859	0.50954	0.41019	0.44566	0.79983	0.22096	0.63987	0.57632	0.68223	0.40065	0.46621
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified|g__GGB79594	0.80334	0.07908	1.35244	0.05317	0.74838	0.08332	0.77763	0.47348	0.43188	0.36026	0.37559	0.39788	0.02553	0.19351	0.67137	0.46596	0.35973	0.40017	0.19446
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.71181	5.54371	0.03262	1.60763	0.02768	0.01438	0.0145	0.05089	0.03277	8.24458	0.09875	0.05472	0.0519	1.0437	6.93802	0.09889	0.05878	0.26212	0.01844
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28844	0.69828	0.04405	0.0534	0.01849	0.65911	2.63953	0.2722	0.06777	0.15365	5.01242	4.04391	0.07205	2.67145	0.2672	7.38509	0.51481	2.19682	2.33064	0.07741
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30302	0.6728	0.37308	1.4628	0.84634	1.64953	0.49536	3.52604	1.88736	0.78833	0.70795	0.69134	1.33404	0.80157	1.40994	1.46979	1.69671	1.05928	0.63426	1.12592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB30455	0.59412	0.4584	0.13474	1.90853	0.50637	0.10221	0.10955	0.10341	0.05999	0.85732	0.72715	0.03182	0.42506	0.13023	0.29995	0.3858	0.75385	0.87128	0.03332
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	0.58515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.54743	0.54743	0.34632	0.70932	0.36835	0.30648	0.73226	0.92163	0.88378	0.60729	0.3387	0.77647	0.75424	0.39949	0.31016	0.73332	0.53474	0.82553	0.57334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28763	0.47207	0	2.02616	0.63846	0.86709	0.7859	0.37805	0.13487	1.99885	0.02368	0.44662	0.86339	0.49581	0.76989	0.08401	0.82285	0.2656	0.38034	0.76165
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB62427	0.45479	0.04355	0.32527	0.73456	0.37477	0.19258	0.88603	0.5122	0.16028	0.05317	0.28299	0.43671	1.17772	0.49117	0.32572	1.08044	0.94004	0.92058	0.58191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter	0.42435	0.36643	0.39291	0.86462	0.14027	0.15777	0.17023	0.1388	0.21301	0.54273	0.54241	0.09415	0.36498	0.145	0.56052	0.22327	1.09086	0.28557	0.14798
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB42644	0.40772	0.11991	0.13136	0.24125	0.09238	0.52783	0.00044	0.33697	0.24813	0.37473	0.08673	0.13573	0.3944	0.56672	0.18846	0.34899	0.28284	0.10855	0.67677
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	0.3834	0.94714	0.83307	1.39258	3.77411	0.75724	2.36624	1.85148	1.28792	1.05784	1.65098	1.44375	1.8407	0.88939	0.84495	2.61258	1.17703	1.88908	1.31619
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB5207	0.37804	0.02608	0.00668	0.07064	0	0	0.11361	0.02663	0	0.40685	0.43269	0	0.13151	0.0175	0.69285	0.00365	0.55167	0.4727	0
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645|g__GGB28991	0.36209	0.11264	0.01312	0	0	0	0	0	0.09211	0.00266	0	0	0.19634	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia	0.35525	1.15449	0.8612	0.53932	0	0.76629	0.87972	1.67178	0.72153	0.46734	1.25446	1.93288	1.89704	0.33917	0	2.26481	0.8604	0.243	1.11273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB74395	0.33427	0	1.22179	0	1.18925	0	2.28045	0.03789	0.0612	0.55817	0.07537	0	0.92585	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30463	0.3176	0.24144	1.07036	0.1556	0.98084	2.74374	0.50109	1.71481	0.98284	0	0.1712	0.50251	1.45269	0.87159	0.2097	0.7203	0.27423	0.04592	1.14145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	0.29872	0.05483	1.18612	0.23995	0.14872	0.47807	0.57017	0.67543	0.80141	0.43298	0.18424	0.32156	0.04203	0.52672	0.09221	0.43589	0.31322	0.28716	0.23045
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45514	0.27629	0.25764	1.63766	0.41749	1.13173	0.4018	0.22912	0.5103	1.17022	0.00992	0.10431	0.96376	0.35975	0.35467	0	0.23841	0.16021	0.03124	0.59349
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980|f__FGB28980|g__GGB28980	0.24078	0.05323	0	0	0.32005	0.08522	0.19302	0	0	0	0	0	0	0	0	0	0.19159	0	0.01926
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB80168	0.20657	0.47606	0.20917	0	0.39394	0.15065	0.57502	0.08249	0.19978	0.20573	0.25418	0.16763	0.07199	0	0.33954	1.61244	0.61258	0	0
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB45624	0.19372	0.03998	0.08353	0.1126	0.40617	0.10174	0.08296	0.08128	0.05982	0.08146	0.12272	0.11809	0.02251	0.23338	0.0411	0.14516	0.09196	0.11122	0.04987
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__GGB30301	0.16988	0.02467	0.10642	0.01583	0.0763	0.03832	0.09324	0.03127	0.03692	0.04926	0.03677	0.04628	0.03226	0.01147	0.01567	0.02854	0.01203	0.02371	0.02644
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138|g__GGB79948	0.16844	0.09477	0.03174	0.06756	0.0274	0.08786	0.0396	0.02791	0.08374	0.12644	0.03264	0.00473	0.1413	0.11836	0.06426	0.14159	0.07997	0.09129	0.03702
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.15859	0.37565	0.42495	0.3732	0.97802	0.25116	0.06786	0.15764	1.05808	0.44221	0.20323	0.55382	0.67173	0.55736	0.51827	0.33707	0.20957	1.44453	1.04532
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	0.15123	0.48455	0.10158	0.30664	0.01279	0.09228	0.02422	0.03649	0	0.12962	0.38687	0.04301	0.37973	0.02543	0.37972	0.04391	0.45301	0.08714	0.04446
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB24102	0.14055	0.02353	0	0.2047	0	0	0	0	0	0.12226	0.31471	0	1.14359	0	0.51093	0	0.89085	0.01097	0
k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300	0.14001	0.40496	1.2279	0.14628	0.4133	0.35728	1.60466	0.8878	0.9005	0.21097	0.92293	1.66421	1.1855	1.06267	0.44158	1.07683	0.60196	0.57312	1.16825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45536	0.13537	0.23501	0.20812	0.28412	0.04382	0.02327	0.10124	0.11771	0.12192	0.22951	0.26036	0.00027	0.28679	0.0609	0.18729	0.01802	0.61561	0.12057	0.01461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28775	0.12392	0.01957	0	0	0	0	0	0	0	0.10781	0.36917	0	2.10681	0	0.2893	0	0.10115	0.65221	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB79854	0.11448	0.03883	0.2048	0.08209	0.34018	0.3208	0.17997	0.08674	0.2204	0.06534	0.06077	0.0852	0.05551	0.13425	0.01785	0.21534	0.03447	0.05052	0.16864
k__Bacteria|p__Firmicutes|c__CFGB73217|o__OFGB73217|f__FGB73217|g__GGB28956	0.1139	0.00984	0.09614	0.05972	0.12061	0.04529	0.10466	0.06765	0.0751	0.01735	0.04353	0.0954	0.10408	0.03033	0.0115	0.06391	0.05292	0.00801	0.04373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30473	0.10152	0.09011	0.1874	0.12247	0.19197	0.14126	0.26478	0.25151	0.26321	0.1821	0.15418	0.28686	0.17241	0.20537	0.11455	0.25268	0.25824	0.11831	0.25923
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28766	0.09038	0.16114	0.13709	0.05129	0.30154	0.07815	0.36037	0.151	0.13671	0.09864	0.16983	0.53255	0.1034	0.1692	0.34815	0.09158	0.02985	0.22298	0.33678
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804	0.08212	0.11294	0	0.12303	0.00293	0.01072	0.0422	0.00086	0.00061	0.23359	0.10783	0	0.11232	0.01561	0.49333	0.00666	0.13658	0.23778	0.00781
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified	0.0791	0.10574	0.04696	0.09278	0.00837	0.02132	0.0017	0.05804	0.13649	0.13155	0.08274	0.06178	0.12172	0.07011	0.02957	0.16282	0.11453	0.13211	0.02378
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB75109	0.0693	0.00569	0.1584	0.02273	0.01529	0.00271	0.02817	0.02147	0.02575	0.00737	0.04603	0.07441	0.07184	0.02071	0	0.22731	0.03186	0.02101	0.0486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Schaedlerella	0.06646	0.06178	0.12929	0.01429	0.22667	0.17462	0.50122	0.20344	0.11043	0.1821	0.12662	0.10529	0.34805	0.10381	0.03546	0	0.10102	0.10155	0.32476
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthellaceae_unclassified	0.05804	0	0.14847	0	0	0	0	0	0.31747	0	0	0	0	0	0	0	0	0.26804	0
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322|g__GGB30414	0.05773	0.04322	0.04969	0.00391	0.03375	0.02159	0.1226	0.03411	0.0267	0	0	0.03306	0.08411	0.03028	0.03238	0.12194	0.15028	0.04136	0.00504
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	0.05071	0.10843	0.31708	0.22017	0.66704	0.21971	0.27327	0.49604	0.28266	0.1504	0.30463	0.53162	0.63241	0.2641	0.09185	0.47513	0.14213	0.13771	0.43234
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576|f__FGB76576|g__GGB29546	0.0501	0	0.03782	0	0	0	0	0.00526	0.03416	0	0	0.01248	0.04632	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB28916	0.04921	0.00145	5.13434	2.3768	0	0	0.05598	0	0	0.05395	5.45494	7.30902	0.14588	0	0.97485	4.46836	0.37108	0.22864	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Acetatifactor	0.03493	0.01839	0.00723	0.03788	0.02556	0.00325	0.0021	0.00666	0.02476	0.05518	0.04423	0.00156	0.047	0.00627	0.03275	0.00224	0.04827	0.02194	0.00073
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925|f__FGB75925|g__GGB31439	0.02813	0	0	0	0	0	0	0	0	0.00735	0.19752	0	0	0	0	0	0.36001	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313|g__GGB28927	0.02698	0.04324	0.02162	0	0	0	0	0	0	0.09417	0.0431	0	0.04027	0.03258	0.04318	0.00612	0.14543	0.05687	0
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531	0.02408	0.07135	0.09514	0.04275	0.04329	0.04806	0.17514	0.19091	0.1604	0	0.07749	0.122	0.07971	0.09225	0.07182	0.02566	0.02991	0.0352	0.09273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30295	0.02256	0.01445	0.91495	0	0.37236	0.03615	0	0	0.10115	0	0.01245	0.44182	0.17457	0.00189	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30297	0.02076	0	0	0	0	0	0	0	0	0	0	0	0.01569	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB28869	0.02057	0.02808	0.10187	0.01	0.01649	0.05367	0.06555	0.04862	0.03582	0.0326	0.01159	0.0418	0.01503	0.10593	0.05179	0.11651	0.0038	0.00018	0.04897
k__Bacteria|p__Firmicutes|c__CFGB75900|o__OFGB75900|f__FGB75900|g__GGB45977	0.01454	0.01477	0	0.02209	0	0	0.04294	0.00835	0	0.01594	0.0212	0	0	0	0	0.03485	0.03379	0.00601	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__GGB31173	0.01114	0	0.00024	0	0.00684	0.00028	0.00919	0.00439	0.01213	0.00169	0	0.01552	0.00067	0.00451	0	0.01344	0	0	0.00668
