Ensembl.Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Associated.Gene.Name
ENSMUSG00000053168,162.2916993,-0.919881734,0.244166297,-3.767439426,0.000164931,0.004361054,9030619P08Rik
ENSMUSG00000041119,378.3620704,-0.478153449,0.126961764,-3.766121667,0.000165803,0.004374509,Pde9a
ENSMUSG00000039523,380.3261044,-0.221343626,0.058800863,-3.76429215,0.000167022,0.004397015,Cep104
ENSMUSG00000029403,121.1136332,0.358023116,0.09520813,3.760425886,0.000169624,0.004455787,Cdkl2
ENSMUSG00000022096,85.80328573,0.801370667,0.213189331,3.758962341,0.00017062,0.004472164,Hr
ENSMUSG00000024960,603.2530065,-0.192960932,0.051385248,-3.755181506,0.000173216,0.004530349,Plcb3
ENSMUSG00000023087,695.041239,0.819295765,0.218312431,3.752858974,0.000174829,0.004562625,Noct
ENSMUSG00000033845,1164.993598,0.273011942,0.072770218,3.751698846,0.00017564,0.004573873,Mrpl15
ENSMUSG00000059447,1351.259429,0.285694655,0.07627958,3.745362176,0.000180134,0.004670665,Hadhb
ENSMUSG00000071551,951.0314158,0.521416204,0.139210435,3.745525292,0.000180017,0.004670665,Akr1c19
ENSMUSG00000031010,458.1633627,0.224951298,0.060078121,3.744313153,0.000180888,0.004673387,Usp9x
ENSMUSG00000031360,291.6759839,0.513421766,0.137126901,3.744136008,0.000181016,0.004673387,Ctps2
ENSMUSG00000091387,128.1771793,0.526580518,0.140694679,3.742718069,0.00018204,0.004689783,Gcnt4
ENSMUSG00000033917,2085.787442,0.386131865,0.10326182,3.739347853,0.000184498,0.004742946,Gde1
ENSMUSG00000035824,496.7715241,-0.200572577,0.053648095,-3.738671039,0.000184996,0.004745591,Tk2
ENSMUSG00000022092,76.40221855,0.55042927,0.147339436,3.735790525,0.000187126,0.004790038,Ppp3cc
ENSMUSG00000019806,238.1565355,0.365849998,0.09795414,3.734911017,0.000187782,0.004794232,Aig1
